state,occ_type,occ_salary,geography
Nevada,occ_270000,49140,state
Nevada,occ_290000,73600,state
Nevada,occ_310000,31160,state
Nevada,occ_330000,33810,state
Nevada,occ_350000,21600,state
Nevada,occ_370000,30580,state
Nevada,occ_390000,19650,state
Nevada,occ_410000,25500,state
Nevada,occ_430000,31810,state
Nevada,occ_450000,31440,state
Nevada,occ_470000,48580,state
Nevada,occ_490000,48070,state
Nevada,occ_510000,30170,state
Nevada,occ_530000,31210,state
New Hampshire,occ_110000,93980,state
New Hampshire,occ_130000,60810,state
New Hampshire,occ_150000,75500,state
New Hampshire,occ_170000,69550,state
New Hampshire,occ_190000,57440,state
New Hampshire,occ_210000,38450,state
New Hampshire,occ_230000,63010,state
New Hampshire,occ_250000,44270,state
New Hampshire,occ_270000,40470,state
New Hampshire,occ_290000,64260,state
New Hampshire,occ_310000,29410,state
New Hampshire,occ_330000,41100,state
New Hampshire,occ_350000,19410,state
New Hampshire,occ_370000,25770,state
New Hampshire,occ_390000,22470,state
New Hampshire,occ_410000,25020,state
New Hampshire,occ_430000,32920,state
New Hampshire,occ_450000,30240,state
New Hampshire,occ_470000,40620,state
New Hampshire,occ_490000,43200,state
New Hampshire,occ_510000,33850,state
New Hampshire,occ_530000,29590,state
New Jersey,occ_110000,121080,state
New Jersey,occ_130000,72060,state
New Jersey,occ_150000,86210,state
New Jersey,occ_170000,82560,state
New Jersey,occ_190000,71810,state
New Jersey,occ_210000,49300,state
New Jersey,occ_230000,86780,state
New Jersey,occ_250000,54030,state
New Jersey,occ_270000,48280,state
New Jersey,occ_290000,74760,state
New Jersey,occ_310000,27610,state
New Jersey,occ_330000,43660,state
New Jersey,occ_350000,20590,state
New Jersey,occ_370000,25490,state
New Jersey,occ_390000,23910,state
New Jersey,occ_410000,28050,state
New Jersey,occ_430000,35680,state
New Jersey,occ_450000,24440,state
New Jersey,occ_470000,52940,state
New Jersey,occ_490000,48960,state
New Jersey,occ_510000,30980,state
New Jersey,occ_530000,29020,state
New Mexico,occ_110000,78280,state
New Mexico,occ_130000,54670,state
New Mexico,occ_150000,67180,state
New Mexico,occ_170000,75160,state
New Mexico,occ_190000,65050,state
New Mexico,occ_210000,36800,state
New Mexico,occ_230000,60190,state
New Mexico,occ_250000,41750,state
New Mexico,occ_270000,38700,state
New Mexico,occ_290000,59560,state
New Mexico,occ_310000,26140,state
New Mexico,occ_330000,34280,state
New Mexico,occ_350000,18910,state
New Mexico,occ_370000,20670,state
New Mexico,occ_390000,19030,state
New Mexico,occ_410000,22840,state
New Mexico,occ_430000,28830,state
New Mexico,occ_450000,18950,state
New Mexico,occ_470000,36080,state
New Mexico,occ_490000,37980,state
New Mexico,occ_510000,29880,state
New Mexico,occ_530000,29180,state
New York,occ_110000,117450,state
New York,occ_130000,73380,state
New York,occ_150000,81050,state
New York,occ_170000,73210,state
New York,occ_190000,59150,state
New York,occ_210000,45110,state
New York,occ_230000,99570,state
New York,occ_250000,53880,state
New York,occ_270000,60350,state
New York,occ_290000,70030,state
New York,occ_310000,27010,state
New York,occ_330000,45460,state
New York,occ_350000,19610,state
New York,occ_370000,29290,state
New York,occ_390000,23390,state
New York,occ_410000,28630,state
New York,occ_430000,35450,state
New York,occ_450000,24320,state
New York,occ_470000,53160,state
New York,occ_490000,45320,state
New York,occ_510000,31990,state
New York,occ_530000,33190,state
North Carolina,occ_110000,98610,state
North Carolina,occ_130000,61040,state
North Carolina,occ_150000,76730,state
North Carolina,occ_170000,67040,state
North Carolina,occ_190000,57560,state
North Carolina,occ_210000,40530,state
North Carolina,occ_230000,55770,state
North Carolina,occ_250000,40170,state
North Carolina,occ_270000,39320,state
North Carolina,occ_290000,55880,state
North Carolina,occ_310000,22650,state
North Carolina,occ_330000,32120,state
North Carolina,occ_350000,18440,state
North Carolina,occ_370000,21080,state
North Carolina,occ_390000,19570,state
North Carolina,occ_410000,23960,state
North Carolina,occ_430000,30810,state
North Carolina,occ_450000,23770,state
North Carolina,occ_470000,33410,state
North Carolina,occ_490000,39110,state
North Carolina,occ_510000,29250,state
North Carolina,occ_530000,26970,state
North Dakota,occ_110000,82930,state
North Dakota,occ_130000,52620,state
North Dakota,occ_150000,56080,state
North Dakota,occ_170000,59410,state
North Dakota,occ_190000,52530,state
North Dakota,occ_210000,41970,state
North Dakota,occ_230000,54870,state
North Dakota,occ_250000,43230,state
North Dakota,occ_270000,31390,state
North Dakota,occ_290000,52400,state
North Dakota,occ_310000,28200,state
North Dakota,occ_330000,35980,state
North Dakota,occ_350000,19450,state
North Dakota,occ_370000,23660,state
North Dakota,occ_390000,22510,state
North Dakota,occ_410000,24840,state
North Dakota,occ_430000,30180,state
North Dakota,occ_450000,30340,state
North Dakota,occ_470000,43790,state
North Dakota,occ_490000,43710,state
North Dakota,occ_510000,33830,state
North Dakota,occ_530000,38100,state
Ohio,occ_110000,86910,state
Ohio,occ_130000,58880,state
Ohio,occ_150000,70830,state
Ohio,occ_170000,68160,state
Ohio,occ_190000,56150,state
Ohio,occ_210000,40110,state
Ohio,occ_230000,65380,state
Ohio,occ_250000,50580,state
Ohio,occ_270000,39900,state
Ohio,occ_290000,56860,state
Ohio,occ_310000,23420,state
Ohio,occ_330000,38060,state
Ohio,occ_350000,18600,state
Ohio,occ_370000,21870,state
Ohio,occ_390000,19940,state
Ohio,occ_410000,23940,state
Ohio,occ_430000,30980,state
Ohio,occ_450000,23870,state
Ohio,occ_470000,43410,state
Ohio,occ_490000,39880,state
Ohio,occ_510000,32380,state
Ohio,occ_530000,27660,state
Oklahoma,occ_110000,74090,state
Oklahoma,occ_130000,53760,state
Oklahoma,occ_150000,58890,state
Oklahoma,occ_170000,71070,state
Oklahoma,occ_190000,49870,state
Oklahoma,occ_210000,34430,state
Oklahoma,occ_230000,57470,state
Oklahoma,occ_250000,38810,state
Oklahoma,occ_270000,33720,state
Oklahoma,occ_290000,49200,state
Oklahoma,occ_310000,22870,state
Oklahoma,occ_330000,30370,state
Oklahoma,occ_350000,18330,state
Oklahoma,occ_370000,20370,state
Oklahoma,occ_390000,18930,state
Oklahoma,occ_410000,22740,state
Oklahoma,occ_430000,28310,state
Oklahoma,occ_450000,23070,state
Oklahoma,occ_470000,35380,state
Oklahoma,occ_490000,37370,state
Oklahoma,occ_510000,31230,state
Oklahoma,occ_530000,28930,state
Oregon,occ_110000,84840,state
Oregon,occ_130000,59100,state
Oregon,occ_150000,71850,state
Oregon,occ_170000,72810,state
Oregon,occ_190000,56060,state
Oregon,occ_210000,40310,state
Oregon,occ_230000,75730,state
Oregon,occ_250000,44700,state
Oregon,occ_270000,41520,state
Oregon,occ_290000,74830,state
Oregon,occ_310000,30850,state
Oregon,occ_330000,45040,state
Oregon,occ_350000,19670,state
Oregon,occ_370000,24000,state
Oregon,occ_390000,22620,state
Oregon,occ_410000,26990,state
Oregon,occ_430000,33280,state
Oregon,occ_450000,22520,state
Oregon,occ_470000,45940,state
Oregon,occ_490000,43730,state
Oregon,occ_510000,33010,state
Oregon,occ_530000,30060,state
Pennsylvania,occ_110000,100210,state
Pennsylvania,occ_130000,61830,state
