cbsa,occ_type,occ_salary,cbsa_name,geography
12100,occ_430000,32470,"Atlantic City-Hammonton, NJ",metro
12100,occ_450000,18520,"Atlantic City-Hammonton, NJ",metro
12100,occ_470000,57040,"Atlantic City-Hammonton, NJ",metro
12100,occ_490000,49590,"Atlantic City-Hammonton, NJ",metro
12100,occ_510000,25840,"Atlantic City-Hammonton, NJ",metro
12100,occ_530000,27970,"Atlantic City-Hammonton, NJ",metro
12220,occ_110000,84520,"Auburn-Opelika, AL",metro
12220,occ_130000,52310,"Auburn-Opelika, AL",metro
12220,occ_150000,58970,"Auburn-Opelika, AL",metro
12220,occ_170000,64320,"Auburn-Opelika, AL",metro
12220,occ_190000,49360,"Auburn-Opelika, AL",metro
12220,occ_210000,41630,"Auburn-Opelika, AL",metro
12220,occ_230000,67880,"Auburn-Opelika, AL",metro
12220,occ_250000,51980,"Auburn-Opelika, AL",metro
12220,occ_270000,42140,"Auburn-Opelika, AL",metro
12220,occ_290000,50210,"Auburn-Opelika, AL",metro
12220,occ_310000,20780,"Auburn-Opelika, AL",metro
12220,occ_330000,28930,"Auburn-Opelika, AL",metro
12220,occ_350000,18100,"Auburn-Opelika, AL",metro
12220,occ_370000,18970,"Auburn-Opelika, AL",metro
12220,occ_390000,18660,"Auburn-Opelika, AL",metro
12220,occ_410000,19640,"Auburn-Opelika, AL",metro
12220,occ_430000,27230,"Auburn-Opelika, AL",metro
12220,occ_450000,31830,"Auburn-Opelika, AL",metro
12220,occ_470000,31570,"Auburn-Opelika, AL",metro
12220,occ_490000,35840,"Auburn-Opelika, AL",metro
12220,occ_510000,22030,"Auburn-Opelika, AL",metro
12220,occ_530000,25960,"Auburn-Opelika, AL",metro
12260,occ_110000,80930,"Augusta-Richmond County, GA-SC",metro
12260,occ_130000,54670,"Augusta-Richmond County, GA-SC",metro
12260,occ_150000,63360,"Augusta-Richmond County, GA-SC",metro
12260,occ_170000,78170,"Augusta-Richmond County, GA-SC",metro
12260,occ_190000,64910,"Augusta-Richmond County, GA-SC",metro
12260,occ_210000,35710,"Augusta-Richmond County, GA-SC",metro
12260,occ_230000,59900,"Augusta-Richmond County, GA-SC",metro
12260,occ_250000,43410,"Augusta-Richmond County, GA-SC",metro
12260,occ_270000,39730,"Augusta-Richmond County, GA-SC",metro
12260,occ_290000,55450,"Augusta-Richmond County, GA-SC",metro
12260,occ_310000,24060,"Augusta-Richmond County, GA-SC",metro
12260,occ_330000,29740,"Augusta-Richmond County, GA-SC",metro
12260,occ_350000,18380,"Augusta-Richmond County, GA-SC",metro
12260,occ_370000,19360,"Augusta-Richmond County, GA-SC",metro
12260,occ_390000,18740,"Augusta-Richmond County, GA-SC",metro
12260,occ_410000,20060,"Augusta-Richmond County, GA-SC",metro
12260,occ_430000,28240,"Augusta-Richmond County, GA-SC",metro
12260,occ_450000,32650,"Augusta-Richmond County, GA-SC",metro
12260,occ_470000,38640,"Augusta-Richmond County, GA-SC",metro
12260,occ_490000,38060,"Augusta-Richmond County, GA-SC",metro
12260,occ_510000,32440,"Augusta-Richmond County, GA-SC",metro
12260,occ_530000,26590,"Augusta-Richmond County, GA-SC",metro
12420,occ_110000,95160,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_130000,60510,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_150000,76910,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_170000,75520,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_190000,53330,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_210000,41070,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_230000,70670,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_250000,45070,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_270000,44170,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_290000,58440,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_310000,27330,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_330000,36340,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_350000,18960,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_370000,21810,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_390000,20550,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_410000,28600,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_430000,32570,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_450000,22440,"Austin-Round Rock-San Marcos, TX",metro
12420,occ_470000,32910,"Austin-Round Rock-San Marcos, TX",metro
