census_id,occ_type,occ_salary,geography
13780,occ_310000,26520,Metro
13780,occ_330000,49620,Metro
13780,occ_350000,18520,Metro
13780,occ_370000,21810,Metro
13780,occ_390000,22460,Metro
13780,occ_410000,23110,Metro
13780,occ_430000,29520,Metro
13780,occ_450000,24880,Metro
13780,occ_470000,42040,Metro
13780,occ_490000,38090,Metro
13780,occ_510000,28820,Metro
13780,occ_530000,28180,Metro
13820,occ_110000,98600,Metro
13820,occ_130000,60610,Metro
13820,occ_150000,70850,Metro
13820,occ_170000,69860,Metro
13820,occ_190000,47170,Metro
13820,occ_210000,40300,Metro
13820,occ_230000,67900,Metro
13820,occ_250000,46600,Metro
13820,occ_270000,31960,Metro
13820,occ_290000,51070,Metro
13820,occ_310000,23330,Metro
13820,occ_330000,31700,Metro
13820,occ_350000,18340,Metro
13820,occ_370000,20720,Metro
13820,occ_390000,18560,Metro
13820,occ_410000,24850,Metro
13820,occ_430000,30770,Metro
13820,occ_450000,31630,Metro
13820,occ_470000,37200,Metro
13820,occ_490000,39960,Metro
13820,occ_510000,30970,Metro
13820,occ_530000,27140,Metro
13900,occ_110000,78140,Metro
13900,occ_130000,55040,Metro
13900,occ_150000,57760,Metro
13900,occ_170000,59660,Metro
13900,occ_190000,52180,Metro
13900,occ_210000,40320,Metro
13900,occ_230000,63810,Metro
13900,occ_250000,48650,Metro
13900,occ_270000,30510,Metro
13900,occ_290000,51800,Metro
13900,occ_310000,28410,Metro
13900,occ_330000,35940,Metro
13900,occ_350000,19820,Metro
13900,occ_370000,23920,Metro
13900,occ_390000,23280,Metro
13900,occ_410000,26630,Metro
13900,occ_430000,31480,Metro
13900,occ_450000,28530,Metro
13900,occ_470000,36860,Metro
13900,occ_490000,41950,Metro
13900,occ_510000,31450,Metro
13900,occ_530000,33970,Metro
13980,occ_110000,75860,Metro
13980,occ_130000,51880,Metro
13980,occ_150000,59060,Metro
13980,occ_170000,61790,Metro
13980,occ_190000,45860,Metro
13980,occ_210000,36720,Metro
13980,occ_230000,42640,Metro
13980,occ_250000,55410,Metro
13980,occ_270000,36650,Metro
13980,occ_290000,50300,Metro
13980,occ_310000,24550,Metro
13980,occ_330000,36130,Metro
13980,occ_350000,18670,Metro
13980,occ_370000,20150,Metro
13980,occ_390000,19270,Metro
13980,occ_410000,21100,Metro
13980,occ_430000,28850,Metro
13980,occ_450000,30780,Metro
13980,occ_470000,32390,Metro
13980,occ_490000,36930,Metro
13980,occ_510000,35130,Metro
13980,occ_530000,26780,Metro
14020,occ_110000,76560,Metro
14020,occ_130000,50300,Metro
14020,occ_150000,57360,Metro
14020,occ_170000,55600,Metro
14020,occ_190000,42880,Metro
14020,occ_210000,45630,Metro
14020,occ_230000,48020,Metro
14020,occ_250000,39440,Metro
14020,occ_270000,43040,Metro
14020,occ_290000,51870,Metro
14020,occ_310000,22350,Metro
14020,occ_330000,33420,Metro
14020,occ_350000,18500,Metro
14020,occ_370000,25670,Metro
14020,occ_390000,19300,Metro
14020,occ_410000,20530,Metro
14020,occ_430000,29530,Metro
14020,occ_450000,22570,Metro
14020,occ_470000,45020,Metro
14020,occ_490000,39100,Metro
14020,occ_510000,28070,Metro
14020,occ_530000,26900,Metro
14060,occ_110000,79140,Metro
14060,occ_130000,61780,Metro
14060,occ_150000,75870,Metro
14060,occ_190000,61290,Metro
14060,occ_210000,41970,Metro
14060,occ_230000,54130,Metro
14060,occ_250000,41250,Metro
14060,occ_270000,42710,Metro
14060,occ_290000,54940,Metro
14060,occ_310000,25500,Metro
14060,occ_330000,29120,Metro
14060,occ_350000,19380,Metro
14060,occ_370000,22820,Metro
14060,occ_390000,21340,Metro
14060,occ_410000,23570,Metro
14060,occ_430000,31320,Metro
14060,occ_450000,49600,Metro
